ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim2,programacion_trim2,programacion_acumulada_trim2,ejecutado_vigente_trim2,ejecutado_acumulado_trim2,porc_desvio_acum_trim2,causa_desvio,causa_desvio_detalle,causa_desvio_comentario,ultima_actualizacion_fecha
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,375,Porcentaje de bancas ocupadas por mujeres en la Cámara de diputados del Congreso Nacional (ODS 5.5.1 -PPG),1187,Porcentaje,Promedio: el total es la suma de las cantidades dividido el número de cantidades,44,41,41,,,45,43,-,Otras Causas,Otras Causas,CAMBIOS INSTITUCIONALES,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso de la Nación,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,Meta,139,Composición e Impresión de Papelería y Publicaciones Parlamentarias,70,Página,Suma: el total es la suma de las cantidades,120000000,120000000,120000000,55000000,70000000,44077809,46611593,"-33,41",Otras causas,Otras causas,"En este segundo trimestre/2023 se realizaron impresiones para los trabajos Parlamentarios  (Orden del dia, Boletin de Asuntos entrados Senado-Diputados etc. y Comerciales.   Continuamos con los convenios y tambien informamos parte  de las impresiones atrazadas, informado en el trimestre anterior.",Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,722,Atención al Público,251,Persona Atendida,Suma: el total es la suma de las cantidades,240000,240000,240000,60000,120000,67352,128780,"7,32",Otras Causas,Otras Causas,Reclamos para el pago de IFE.,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1268,Actuaciones de Oficio,30,Caso,Suma: el total es la suma de las cantidades,216,216,216,54,108,57,101,"-6,48",Otras Causas,Otras Causas,Reclamos por cortes en el suministro eléctrico.,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1269,Recepción de  Quejas Promovidas por los Ciudadanos,30,Caso,Suma: el total es la suma de las cantidades,12000,12000,12000,3000,6000,3019,6241,"4,02",Otras Causas,Otras Causas,Reclamos para el pago de IFE.,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,3214,Promoción de los Derechos Humanos,2145,Podcast Difundido,Suma: el total es la suma de las cantidades,96,96,96,24,48,24,48,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,3778,Promoción de Objetivos de Desarrollo Sostenible,1290,Evento Realizado,Suma: el total es la suma de las cantidades,4,4,4,1,2,1,2,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2854,Participación en Audiencias Públicas,583,Participante,Suma: el total es la suma de las cantidades,1200,1200,1200,400,600,130,182,"-69,67",Otras Causas,Otras Causas,El área informa que las audiencia se pasaron para el trimestre siguiente,Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,3653,Formación en Derecho a la Comunicación y Derechos de las Audiencias,583,Participante,Suma: el total es la suma de las cantidades,40000,40000,40000,10000,20000,12737,14187,"-29,07",Otras Causas,Otras Causas,"El desvío corresponde a la dificultad de ejecución del presupuesto en el mes de enero y la postergación de actividades hasta abril dado que muchos establecimientos educativos, áreas de gobierno y organizaciones del tercer sector no solicitaron actividades en el primer trimestre sino que lo hicieron para los subsiguientes.",Última actualización del ejercicio 2023: 07 Noviembre 2023.
2023,2,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,3795,Monitoreo de Material Audiovisual de Noticieros,1045,Informe Realizado,Suma: el total es la suma de las cantidades,7,7,7,2,3,2,3,"0,00",-,-,-,Última actualización del ejercicio 2023: 07 Noviembre 2023.
